"","zone","label_id"
"4906","MACKAY/CAPRICORN","21-082"
"4907","MACKAY/CAPRICORN","21-078"
"4908","MACKAY/CAPRICORN","21-085"
"4909","MACKAY/CAPRICORN","20-390"
"4912","MACKAY/CAPRICORN","20-179"
"4913","MACKAY/CAPRICORN","20-514"
"4914","MACKAY/CAPRICORN","21-005a"
"4915","MACKAY/CAPRICORN","21-005b"
"4916","MACKAY/CAPRICORN","21-005c"
"4917","MACKAY/CAPRICORN","21-005d"
"4918","MACKAY/CAPRICORN","21-005e"
"4919","MACKAY/CAPRICORN","21-005f"
"4921","MACKAY/CAPRICORN","21-096"
"4922","MACKAY/CAPRICORN","21-098"
"4923","MACKAY/CAPRICORN","21-016"
"4924","MACKAY/CAPRICORN","21-095"
"4925","MACKAY/CAPRICORN","21-034"
"4926","MACKAY/CAPRICORN","21-036b"
"4927","MACKAY/CAPRICORN","21-036c"
"4928","MACKAY/CAPRICORN","20-600"
"4929","MACKAY/CAPRICORN","21-033"
"4930","MACKAY/CAPRICORN","21-079"
"4931","MACKAY/CAPRICORN","21-020"
"4932","MACKAY/CAPRICORN","20-565"
"4933","MACKAY/CAPRICORN","21-018"
"4934","MACKAY/CAPRICORN","21-021"
"4935","MACKAY/CAPRICORN","21-022"
"4936","MACKAY/CAPRICORN","21-023"
"4937","MACKAY/CAPRICORN","21-024"
"4938","MACKAY/CAPRICORN","21-105"
"4939","MACKAY/CAPRICORN","20-282"
"4941","MACKAY/CAPRICORN","20-377"
"4942","MACKAY/CAPRICORN","20-199"
"4943","MACKAY/CAPRICORN","20-200"
"4944","MACKAY/CAPRICORN","21-031"
"4945","MACKAY/CAPRICORN","21-032"
"4946","MACKAY/CAPRICORN","21-035"
"4947","MACKAY/CAPRICORN","21-113c"
"4948","MACKAY/CAPRICORN","21-114a"
"4949","MACKAY/CAPRICORN","21-041"
"4950","MACKAY/CAPRICORN","21-121"
"4951","MACKAY/CAPRICORN","21-141"
"4952","MACKAY/CAPRICORN","21-143"
"4953","MACKAY/CAPRICORN","21-139"
"4954","MACKAY/CAPRICORN","20-484"
"4955","MACKAY/CAPRICORN","20-486"
"4956","MACKAY/CAPRICORN","21-043"
"4957","MACKAY/CAPRICORN","20-615"
"4958","MACKAY/CAPRICORN","21-039"
"4959","MACKAY/CAPRICORN","21-125"
"4960","MACKAY/CAPRICORN","20-450"
"4961","MACKAY/CAPRICORN","20-494"
"4962","MACKAY/CAPRICORN","20-202"
"4967","MACKAY/CAPRICORN","20-130"
"4968","MACKAY/CAPRICORN","21-138"
"4969","MACKAY/CAPRICORN","20-475"
"4970","MACKAY/CAPRICORN","20-476"
"4971","MACKAY/CAPRICORN","20-477"
"4972","MACKAY/CAPRICORN","21-132"
"4973","MACKAY/CAPRICORN","21-135"
"4974","MACKAY/CAPRICORN","20-487"
"4975","MACKAY/CAPRICORN","20-481"
"4976","MACKAY/CAPRICORN","20-489"
"4977","MACKAY/CAPRICORN","20-490"
"4978","MACKAY/CAPRICORN","20-385"
"4979","MACKAY/CAPRICORN","20-388c"
"4980","MACKAY/CAPRICORN","20-520"
"4981","MACKAY/CAPRICORN","21-144"
"4982","MACKAY/CAPRICORN","21-145a"
"4983","MACKAY/CAPRICORN","21-146"
"4984","MACKAY/CAPRICORN","20-488"
"4985","MACKAY/CAPRICORN","20-497"
"4986","MACKAY/CAPRICORN","20-499"
"4987","MACKAY/CAPRICORN","20-500"
"4988","MACKAY/CAPRICORN","20-252"
"4989","MACKAY/CAPRICORN","20-228"
"4990","MACKAY/CAPRICORN","20-225"
"4991","MACKAY/CAPRICORN","20-380"
"4992","MACKAY/CAPRICORN","20-383"
"4993","MACKAY/CAPRICORN","20-386"
"4994","MACKAY/CAPRICORN","20-509"
"4995","MACKAY/CAPRICORN","20-515"
"4996","MACKAY/CAPRICORN","20-517"
"4997","MACKAY/CAPRICORN","20-519"
"4998","MACKAY/CAPRICORN","20-521"
"4999","MACKAY/CAPRICORN","20-522"
"5000","MACKAY/CAPRICORN","20-524"
"5001","MACKAY/CAPRICORN","21-100"
"5002","MACKAY/CAPRICORN","21-829b"
"5003","MACKAY/CAPRICORN","21-829c"
"5004","MACKAY/CAPRICORN","21-015"
"5005","MACKAY/CAPRICORN","21-094"
"5006","MACKAY/CAPRICORN","21-097"
"5007","MACKAY/CAPRICORN","21-102"
"5008","MACKAY/CAPRICORN","20-388a"
"5009","MACKAY/CAPRICORN","20-391"
"5010","MACKAY/CAPRICORN","20-397"
"5011","MACKAY/CAPRICORN","20-531"
"5012","MACKAY/CAPRICORN","20-394"
"5013","MACKAY/CAPRICORN","21-108"
"5014","MACKAY/CAPRICORN","20-267"
"5017","MACKAY/CAPRICORN","20-280"
"5018","MACKAY/CAPRICORN","20-283"
"5019","MACKAY/CAPRICORN","21-087"
"5020","MACKAY/CAPRICORN","21-089"
"5021","MACKAY/CAPRICORN","21-099"
"5022","MACKAY/CAPRICORN","20-410"
"5023","MACKAY/CAPRICORN","20-411"
"5024","MACKAY/CAPRICORN","20-413"
"5025","MACKAY/CAPRICORN","20-416"
"5026","MACKAY/CAPRICORN","21-123"
"5027","MACKAY/CAPRICORN","21-126"
"5028","MACKAY/CAPRICORN","21-118"
"5029","MACKAY/CAPRICORN","21-119"
"5030","MACKAY/CAPRICORN","20-441"
"5031","MACKAY/CAPRICORN","21-101"
"5032","MACKAY/CAPRICORN","20-415"
"5033","MACKAY/CAPRICORN","21-829a"
"5034","MACKAY/CAPRICORN","20-419"
"5035","MACKAY/CAPRICORN","20-421"
"5036","MACKAY/CAPRICORN","20-452"
"5037","MACKAY/CAPRICORN","20-284"
"5038","MACKAY/CAPRICORN","20-237b"
"5039","MACKAY/CAPRICORN","20-378b"
"5040","MACKAY/CAPRICORN","20-194c"
"5041","MACKAY/CAPRICORN","20-196"
"5042","MACKAY/CAPRICORN","21-115"
"5043","MACKAY/CAPRICORN","21-117"
"5044","MACKAY/CAPRICORN","21-120"
"5045","MACKAY/CAPRICORN","20-434"
"5046","MACKAY/CAPRICORN","20-435"
"5047","MACKAY/CAPRICORN","20-436"
"5048","MACKAY/CAPRICORN","20-438"
"5049","MACKAY/CAPRICORN","20-440"
"5050","MACKAY/CAPRICORN","21-127b"
"5051","MACKAY/CAPRICORN","20-446"
"5052","MACKAY/CAPRICORN","20-447"
"5053","MACKAY/CAPRICORN","20-449"
"5054","MACKAY/CAPRICORN","21-140"
"5055","MACKAY/CAPRICORN","20-485"
"5056","MACKAY/CAPRICORN","20-482"
